"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"132","Glu_5_Mm_2490ε",177882.33750431,0.0594846550108834,0.0356119927134096,418.704852314927,19.4638695491741,2.23318702823724,2.23343310527242,0.0193401483210254,""
"133","Ser_1_Mm_2490ε",298334.995559889,0.0593698209412237,0.0500640551071774,308.203985772446,13.8452064874899,2.72519202745342,2.7266964709749,0.0193113067543975,""
"134","Ser_5_Mm_2490ε",0.1442331310164,0.0240888456975038,0.324099537962122,4.95818201111676,2.13868611142838,2.64246656512,2.63915543860575,0.0045948603592272,""
"135","Thr_1_Mm_2490ε",753190.084312404,0.0567760303859463,0.0702657831936891,233.409678689715,9.86464747214545,3.50520864961381,3.52501912304483,0.0270753827603938,""
"136","Thr_5_Mm_2490ε",1347322.10978742,0.0612722988471565,0.0642666026415952,263.061314130096,10.7854959196384,3.45779830020311,3.46904595694444,0.0245718233043219,""
"137","As_1_Mm_2491ε",0.288117503671742,0.0380541412231689,0.354860815513738,5.3054728459696,1.95329309480525,5.22509670846783,5.20959472930824,0.0110974495206304,""
"138","As_5_Mm_2491ε",0.333101000403047,0.0231351548187538,0.495161005272761,5.240939358982,1.39984201740224,6.14568572026729,6.13509935498928,0.00720029707493592,""
"139","Glu_1_Mm_2491ε",0.619065285602554,0.0131266257092973,0.462697713697998,8.28215913289843,1.49805620395255,9.60118705236195,9.62365756737451,0.012133778555174,""
"140","Glu_5_Mm_2491ε",0.0682310689287785,0.00667038597720255,1.26972948357937,1.75025129827237,0.545901461314391,1.50140788783732,1.5030609147115,0.00350237199462015,""
"141","Ser_1_Mm_2491ε",0.53524192363124,0.0112907251987155,0.485972504888509,7.89636635570932,1.42630945904844,8.50856933052122,8.58022324693908,0.0278079182194082,""
"142","Ser_5_Mm_2491ε",0.562065878525698,0.0189350132671215,0.408414945250663,8.21795963165971,1.69716409406744,8.73355608920461,8.79098788679215,0.027297698558426,""
"143","Thr_1_Mm_2491ε",0.398600410950488,0.0188469274940403,0.282950582236814,10.6137700363558,2.44971109470918,5.23519376007125,5.28930217307164,0.023664851239225,""
