"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note","fullWellCode","wellNumber","instance","Media","Concentration","Nutrient","Strain","Mutant","DemoPlotColumn"
"77","B5b",0.452928258949373,0.0261991672862847,0.000104023220821301,26824.9888515442,6663.38895380564,26465.8632186054,26487.7912794903,0.0200343407955985,"","B5b_b_Ser_1_Mm_2491_Control_yes","B5b","b","Ser","1","Mm","2491","Control","yes"
"78","B6b",0.488230291607961,0.0239431848698807,0.000103347535177731,28687.8578527451,6706.9541558772,27663.9923624267,27795.9384894903,0.0307500123129856,"","B6b_b_Ser_5_Mm_2491_Control_no","B6b","b","Ser","5","Mm","2491","Control","no"
"79","B7b",0.378720906736175,0.0315895695360825,5.08718930533475e-05,47115.923346154,13625.3467083104,14979.1186803401,15043.4734635683,0.0250985131509059,"","B7b_b_Thr_1_Mm_2491_Control_yes","B7b","b","Thr","1","Mm","2491","Control","yes"
"80","B8b",0.573354945346372,0.0287311497276886,4.61107984085604e-05,63805.3012314733,15032.2094711608,15823.618450202,15951.6780365293,0.0249278180504052,"","B8b_b_Thr_5_Mm_2491_Control_no","B8b","b","Thr","5","Mm","2491","Control","no"
"81","C1b",0.239710791090246,0.0349292395060665,0.000108570736508323,16290.0204897955,6384.29104242843,16318.088109032,16267.5480969415,0.0120963178982491,"","C1b_b_As_1_Mm_2492_Deletion_yes","C1b","b","As","1","Mm","2492","Deletion","yes"
"82","C2b",0.304752520803919,0.0296522541371213,0.000110762432419523,20111.4894391542,6257.96278953667,19741.9810831904,19667.0241219415,0.0100026842673077,"","C2b_b_As_5_Mm_2492_Deletion_no","C2b","b","As","5","Mm","2492","Deletion","no"
"83","C3b",0.566710540388407,0.0117995519569111,0.00013331633331625,28884.2789393807,5199.2667613778,32173.0005874025,32327.1817885683,0.0130043780623425,"","C3b_b_Glu_1_Mm_2492_Deletion_yes","C3b","b","Glu","1","Mm","2492","Deletion","yes"
"84","C4b",0.131216578420239,0.0501485809314343,3.56203655719071e-05,13483.8049088901,19459.2944073155,7986.44872475847,7972.59717050975,0.016465741897444,"","C4b_b_Glu_5_Mm_2492_Deletion_no","C4b","b","Glu","5","Mm","2492","Deletion","no"
"85","C5b",0.125329317807171,0.0265524574280146,0.000111236008380384,11810.3938451598,6231.32015120187,9006.34920060363,8972.7900489805,0.0161942172583632,"","C5b_b_Ser_1_Mm_2492_Deletion_yes","C5b","b","Ser","1","Mm","2492","Deletion","yes"
"86","C6b",0.100171888673502,0.0208625699728869,0.000149150020960468,8953.39458982062,4647.31534126744,7542.01399720095,7542.40763347075,0.00407104696021648,"","C6b_b_Ser_5_Mm_2492_Deletion_no","C6b","b","Ser","5","Mm","2492","Deletion","no"
